q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,score,category
4,2,2,4,1,3,4,5,4,5,2,2,1,4,1,0,0,1,1,1,0,1,0,2,2,52,Needs Upskilling
0,1,1,2,3,6,4,4,3,2,1,1,0,4,4,2,1,1,3,0,0,3,2,3,2,53,Needs Upskilling
1,3,1,3,4,2,0,6,3,5,1,0,1,0,4,0,0,1,2,0,3,2,2,2,1,47,High Risk
3,0,2,1,3,6,2,4,6,1,4,2,0,3,0,3,0,0,1,2,0,0,2,0,3,48,High Risk
0,1,1,3,2,3,5,6,1,0,2,3,0,3,0,1,3,1,1,2,2,0,2,3,1,46,High Risk
3,1,2,2,4,5,2,0,2,0,0,4,1,1,2,3,2,2,1,1,3,2,2,0,2,47,High Risk
1,3,0,2,1,1,4,0,2,4,3,1,1,1,1,3,1,0,3,3,3,1,3,1,2,45,High Risk
1,0,2,2,2,5,3,0,0,5,2,4,0,1,3,2,0,0,3,1,3,2,1,2,2,46,High Risk
0,4,2,0,3,6,0,5,0,2,2,3,4,2,0,2,2,0,3,0,0,0,2,1,0,43,High Risk
1,4,3,3,4,1,4,4,4,0,1,2,1,1,3,2,2,0,1,3,3,2,3,0,0,52,Needs Upskilling
4,1,2,3,1,0,4,4,1,6,3,3,2,3,3,3,3,2,1,3,0,1,1,1,0,55,Needs Upskilling
1,0,2,4,2,4,5,4,0,0,4,3,3,2,1,0,3,1,0,3,0,0,0,1,1,44,High Risk
3,1,0,4,1,5,0,2,0,3,2,4,0,4,2,0,3,2,0,1,3,1,2,0,2,45,High Risk
3,2,3,4,3,3,5,4,5,3,4,1,0,0,1,3,1,1,3,0,1,2,3,0,3,58,Needs Upskilling
3,1,4,2,1,0,0,2,1,0,2,3,3,1,0,3,0,2,3,2,1,3,0,2,1,40,High Risk
3,1,0,3,0,4,5,0,4,5,4,4,4,4,3,1,3,3,2,1,3,2,3,1,1,64,Needs Upskilling
4,4,0,2,2,3,2,0,0,4,3,1,3,3,1,2,3,3,3,2,1,1,1,3,1,52,Needs Upskilling
2,4,4,0,1,2,3,5,4,0,1,2,1,0,1,2,3,3,0,3,2,2,1,3,3,52,Needs Upskilling
0,4,2,4,3,3,3,6,3,1,3,2,3,4,1,3,0,3,0,3,2,3,0,0,2,58,Needs Upskilling
3,2,1,2,3,1,0,0,4,2,0,0,0,0,0,3,0,0,0,1,0,1,3,0,0,26,High Risk
1,4,3,2,1,1,1,6,2,4,1,4,3,1,2,0,3,0,1,0,1,2,2,1,2,48,High Risk
3,0,1,0,3,2,6,6,2,1,3,1,2,3,1,3,3,2,1,3,2,1,2,0,2,53,Needs Upskilling
1,3,4,1,4,0,4,5,4,4,0,3,1,0,0,0,2,2,3,2,3,1,0,3,1,51,Needs Upskilling
1,0,0,3,4,4,4,1,2,1,2,2,3,4,3,3,3,3,2,2,1,0,0,2,1,51,Needs Upskilling
3,0,0,1,4,3,0,1,3,2,2,1,0,1,4,1,1,1,2,1,2,0,0,2,1,36,High Risk
4,4,3,4,0,1,5,3,1,2,4,4,1,1,0,1,1,3,2,2,2,1,3,1,0,53,Needs Upskilling
1,3,0,2,1,0,1,5,2,3,1,0,0,4,4,0,3,2,1,0,3,2,2,2,0,42,High Risk
1,3,0,0,0,2,2,3,2,5,2,2,4,4,1,2,0,3,0,3,0,2,2,0,0,43,High Risk
3,3,3,0,3,6,5,3,4,1,1,1,2,0,1,1,2,2,0,2,3,2,2,0,2,52,Needs Upskilling
1,2,3,3,0,5,5,1,3,3,2,1,4,2,0,0,0,3,1,2,0,3,0,0,1,45,High Risk
1,4,4,1,3,6,0,5,6,1,4,1,2,1,4,3,3,1,2,3,2,1,2,0,3,63,Needs Upskilling
3,3,0,3,3,6,0,1,6,3,3,4,3,0,1,3,1,3,2,1,0,1,1,1,2,54,Needs Upskilling
3,2,0,2,2,1,4,3,6,2,4,4,1,4,3,0,2,1,3,2,2,3,0,2,0,56,Needs Upskilling
0,1,4,3,4,2,0,5,6,4,0,4,3,0,2,2,0,1,3,1,2,1,2,3,3,56,Needs Upskilling
4,1,2,0,3,3,0,3,1,6,2,3,2,4,2,0,0,2,2,1,1,1,3,2,3,51,Needs Upskilling
4,2,2,0,2,6,0,4,4,3,0,1,2,3,1,0,3,1,1,2,0,3,0,0,1,45,High Risk
1,2,2,4,4,6,4,6,4,1,0,2,2,4,4,1,2,0,2,0,0,0,1,3,3,58,Needs Upskilling
4,4,4,4,3,4,2,5,5,1,1,4,0,4,1,0,1,0,3,1,0,1,1,1,0,54,Needs Upskilling
1,4,0,2,3,1,2,5,3,6,2,4,1,4,4,0,3,0,2,2,3,3,3,0,1,59,Needs Upskilling
0,1,4,1,0,1,6,6,6,5,0,1,3,2,3,3,2,2,1,1,1,2,3,0,3,57,Needs Upskilling
3,3,4,3,0,3,6,3,1,2,3,4,3,4,4,1,0,0,0,3,1,0,0,3,1,55,Needs Upskilling
3,1,2,2,4,5,0,4,3,1,0,3,4,1,1,3,3,2,1,0,1,2,0,1,3,50,Needs Upskilling
3,3,1,4,3,0,6,2,6,0,3,3,2,1,3,3,0,2,1,0,3,1,1,3,2,56,Needs Upskilling
4,3,0,3,1,4,4,6,1,4,1,4,2,0,0,2,0,0,3,3,0,0,3,1,2,51,Needs Upskilling
0,4,2,4,0,1,2,1,3,3,0,1,2,2,2,2,3,1,1,3,0,3,0,0,0,40,High Risk
4,0,1,3,4,4,5,3,4,5,4,1,3,0,1,1,3,3,1,1,0,1,1,2,2,57,Needs Upskilling
4,0,1,1,3,1,2,6,4,6,1,1,4,1,1,1,3,2,3,3,1,3,3,0,2,57,Needs Upskilling
0,2,3,2,3,4,2,6,0,4,3,0,0,1,1,2,3,0,3,0,1,0,1,2,2,45,High Risk
0,4,0,3,1,2,4,5,2,2,1,4,1,3,3,2,3,2,0,3,2,2,2,2,3,56,Needs Upskilling
0,3,1,0,4,6,6,1,6,5,0,1,0,4,0,2,0,1,2,2,3,1,3,1,3,55,Needs Upskilling
0,0,2,0,3,1,5,1,5,3,2,3,3,1,4,2,1,1,1,2,3,1,0,3,1,48,High Risk
3,3,3,3,0,4,4,1,3,3,2,2,2,0,0,2,1,0,3,1,1,3,0,1,3,48,High Risk
2,0,0,3,1,0,0,6,5,6,3,2,1,0,3,3,3,2,0,0,2,0,2,0,2,46,High Risk
2,0,4,3,4,2,3,2,0,0,3,1,3,4,1,1,0,3,2,2,0,3,3,3,3,52,Needs Upskilling
0,0,2,0,1,2,2,0,2,6,2,2,3,4,2,3,1,3,3,3,1,0,1,2,0,45,High Risk
2,4,1,0,0,0,3,3,3,2,3,2,3,3,1,3,1,2,2,2,3,1,0,2,1,47,High Risk
2,1,1,3,4,4,4,0,1,5,1,0,1,2,4,0,1,2,2,2,3,0,2,0,1,46,High Risk
0,3,2,4,1,3,4,6,6,5,4,3,1,0,2,3,0,2,1,1,3,1,2,3,3,63,Needs Upskilling
2,4,1,4,2,0,4,0,2,1,4,3,4,4,1,2,3,0,1,3,0,0,3,0,2,50,Needs Upskilling
4,4,3,1,0,4,3,6,4,0,1,0,4,0,2,2,3,1,3,3,3,2,3,0,1,57,Needs Upskilling
1,4,0,2,0,0,4,0,0,0,4,0,0,4,0,0,3,3,2,3,0,0,0,1,0,31,High Risk
1,4,3,4,0,0,0,1,2,5,0,2,1,1,3,0,2,0,3,1,0,2,2,0,0,37,High Risk
0,4,1,0,2,1,4,4,6,5,1,4,1,0,1,0,2,2,3,3,0,0,1,3,1,49,High Risk
3,2,4,4,2,4,1,1,2,4,3,2,1,1,4,0,2,2,2,3,1,0,2,0,2,52,Needs Upskilling
0,3,0,1,3,3,6,1,6,4,1,0,4,0,0,0,0,1,3,2,0,3,1,3,2,47,High Risk
3,4,0,1,1,6,3,5,4,4,2,3,3,2,1,3,1,2,2,2,2,3,1,2,3,63,Needs Upskilling
1,3,2,2,3,1,1,5,3,0,3,2,2,3,0,0,1,0,2,3,3,1,0,0,3,44,High Risk
0,2,2,4,1,0,4,0,1,1,2,4,4,1,4,3,0,0,2,0,1,3,2,3,1,45,High Risk
4,2,4,0,2,6,0,6,4,3,3,2,1,4,1,1,0,1,2,0,3,0,1,2,3,55,Needs Upskilling
2,3,0,0,2,5,2,1,1,4,4,1,4,2,4,0,3,0,0,3,0,3,3,3,3,53,Needs Upskilling
3,0,4,3,3,6,5,0,3,1,1,2,0,0,2,0,3,3,2,0,1,0,1,2,3,48,High Risk
2,1,2,0,4,0,6,5,2,6,0,0,1,1,4,3,2,0,1,1,2,2,3,1,0,49,High Risk
2,0,2,2,3,0,5,4,1,2,3,3,0,0,2,1,2,0,1,2,0,0,3,0,3,41,High Risk
0,0,0,2,1,4,4,3,0,4,3,3,1,0,1,3,0,0,1,1,3,1,2,0,1,38,High Risk
2,0,3,0,3,4,6,0,0,6,2,0,4,0,2,3,2,3,2,2,2,2,3,2,2,55,Needs Upskilling
4,4,1,0,0,1,6,4,6,3,4,1,3,3,1,0,1,2,1,0,0,1,1,1,3,51,Needs Upskilling
2,2,2,3,1,3,0,3,4,2,2,0,2,3,1,2,0,0,0,0,2,1,3,3,2,43,High Risk
0,0,2,0,1,1,6,2,3,2,2,2,0,4,3,2,0,1,3,3,0,1,2,1,3,44,High Risk
4,2,3,3,4,2,3,0,6,3,4,0,4,1,1,3,1,3,2,0,1,3,0,3,1,57,Needs Upskilling
1,3,3,3,2,0,1,0,4,4,0,0,3,2,2,0,3,1,1,0,0,1,1,3,0,38,High Risk
2,1,4,0,1,6,1,2,4,0,2,1,4,2,3,1,3,0,0,3,1,2,1,0,1,45,High Risk
0,3,4,1,2,5,1,2,6,3,2,2,0,2,3,2,1,1,3,3,0,0,2,2,0,50,Needs Upskilling
1,3,1,1,3,0,3,0,5,3,3,4,2,0,1,1,1,0,0,2,0,1,2,0,3,40,High Risk
1,4,1,3,0,0,5,2,4,3,4,4,4,3,4,2,2,3,1,0,3,2,2,0,3,60,Needs Upskilling
3,1,0,0,4,1,0,1,5,2,1,3,1,1,4,0,0,1,0,2,2,1,2,0,0,35,High Risk
4,3,4,1,2,5,6,3,0,1,0,0,3,0,3,3,2,1,3,2,2,0,1,3,1,53,Needs Upskilling
2,3,2,0,1,5,3,3,0,6,0,3,4,3,1,1,1,0,1,1,2,2,0,0,1,45,High Risk
0,1,4,0,2,5,1,3,4,0,4,1,3,3,4,1,2,0,3,0,0,2,3,3,0,49,High Risk
3,1,2,0,1,1,4,1,0,4,3,4,1,1,1,3,1,2,0,0,0,0,3,2,3,41,High Risk
4,3,3,4,2,0,2,6,3,4,3,0,2,1,1,1,2,0,2,1,0,2,0,3,0,49,High Risk
3,1,4,0,1,1,6,2,5,6,4,1,2,1,3,2,2,0,2,2,1,0,0,3,3,55,Needs Upskilling
4,3,3,4,3,4,3,4,5,1,3,1,1,0,3,3,3,2,2,0,1,2,0,1,0,56,Needs Upskilling
4,3,1,3,1,4,3,2,4,3,0,0,3,4,0,2,1,0,2,2,3,2,2,0,3,52,Needs Upskilling
2,4,1,1,1,1,0,0,0,0,0,1,4,1,4,2,2,0,3,1,0,0,1,0,0,29,High Risk
4,0,0,1,0,5,0,5,1,4,1,0,1,4,4,0,0,2,2,3,2,0,1,0,2,42,High Risk
3,3,4,1,1,0,3,3,6,6,4,0,0,0,4,2,2,3,3,2,2,2,1,0,3,58,Needs Upskilling
4,2,3,1,0,1,1,2,6,5,2,2,3,4,2,0,2,3,1,0,3,2,2,1,1,53,Needs Upskilling
2,0,2,1,4,1,2,4,5,6,2,3,2,2,1,1,0,0,2,3,2,0,1,1,0,47,High Risk
2,0,1,1,0,1,6,0,4,4,1,1,1,4,3,1,1,0,3,2,3,3,2,1,1,46,High Risk
3,0,1,1,3,2,0,1,4,3,1,1,2,1,4,0,3,2,2,2,0,0,1,1,0,38,High Risk
1,4,2,3,0,4,6,6,3,5,3,2,3,0,0,2,3,2,2,3,2,2,0,0,1,59,Needs Upskilling
1,3,3,0,4,6,1,1,2,1,1,2,2,1,4,3,3,3,2,3,0,2,3,3,1,55,Needs Upskilling
4,4,3,2,3,5,6,4,2,0,1,2,1,2,1,3,0,1,3,3,1,2,3,2,0,58,Needs Upskilling
0,3,4,4,2,3,4,0,5,1,2,4,3,1,1,0,2,0,0,0,2,0,2,1,0,44,High Risk
4,4,4,2,2,6,0,3,6,1,3,4,0,1,3,1,1,1,2,0,1,2,1,3,1,56,Needs Upskilling
3,4,0,2,0,5,1,2,3,6,1,4,1,1,2,1,2,1,2,2,2,3,3,1,1,53,Needs Upskilling
3,2,1,0,0,3,1,0,3,0,1,0,4,3,3,3,3,2,1,2,0,1,0,0,1,37,High Risk
3,4,4,0,4,2,2,6,3,0,3,1,1,2,4,0,2,0,0,1,3,3,0,0,3,51,Needs Upskilling
3,1,3,0,4,1,2,1,5,4,4,3,3,1,0,3,0,0,3,0,0,0,0,3,3,47,High Risk
3,2,2,1,1,2,4,6,2,4,3,0,1,1,3,2,0,2,1,2,0,2,2,3,2,51,Needs Upskilling
2,4,3,3,4,2,1,6,6,0,2,1,0,1,2,2,1,1,2,3,0,0,2,3,3,54,Needs Upskilling
1,0,1,1,1,6,5,4,3,5,4,1,0,0,3,0,1,2,1,3,2,1,1,0,3,49,High Risk
3,1,3,3,3,0,1,4,6,2,0,2,4,3,1,0,3,3,1,0,3,0,0,0,0,46,High Risk
0,1,0,3,0,6,2,2,0,4,3,2,2,0,4,2,1,0,2,3,1,2,1,2,2,45,High Risk
0,1,1,2,3,4,5,4,4,2,2,0,3,3,4,1,2,3,0,1,0,1,1,3,2,52,Needs Upskilling
0,2,2,2,4,3,0,4,4,6,4,2,3,1,4,0,0,2,0,2,2,1,0,2,3,53,Needs Upskilling
0,4,0,3,3,1,0,0,6,5,3,1,2,2,4,2,0,0,1,2,1,2,1,1,0,44,High Risk
2,4,1,3,3,6,6,3,1,0,1,2,0,4,4,2,0,3,2,2,0,2,3,2,0,56,Needs Upskilling
0,0,2,1,3,3,3,2,1,5,3,4,0,4,4,1,1,3,3,0,1,2,2,1,2,51,Needs Upskilling
3,0,0,1,4,5,2,0,5,4,0,2,1,1,0,1,0,1,1,3,0,0,1,1,0,36,High Risk
4,1,0,2,3,3,3,3,5,1,3,1,4,0,2,1,0,0,3,1,1,3,0,2,1,47,High Risk
0,0,1,0,1,5,5,6,4,6,4,0,4,2,4,1,0,3,1,0,1,0,2,3,3,56,Needs Upskilling
2,2,4,3,4,6,2,0,0,0,4,3,4,3,2,3,3,3,1,2,3,0,2,1,1,58,Needs Upskilling
2,4,0,1,3,4,4,5,2,3,3,2,1,1,4,1,3,1,2,1,3,3,1,3,2,59,Needs Upskilling
0,1,0,2,4,6,1,0,2,6,4,1,4,2,3,3,1,3,2,2,0,2,3,0,2,54,Needs Upskilling
4,0,2,1,2,5,4,4,5,2,1,3,2,2,4,0,0,3,3,2,2,2,1,1,0,55,Needs Upskilling
0,2,3,3,1,3,5,3,0,5,3,3,1,3,1,2,1,3,3,0,3,3,3,0,0,54,Needs Upskilling
2,2,1,3,3,3,2,2,5,0,1,4,2,2,0,3,0,1,0,2,1,3,2,2,2,48,High Risk
1,0,1,4,2,5,5,2,2,6,1,3,1,0,3,0,0,3,2,1,3,0,1,3,2,51,Needs Upskilling
3,4,4,0,2,2,1,3,6,5,2,1,4,0,3,0,0,3,1,2,3,1,0,2,1,53,Needs Upskilling
2,0,4,4,4,4,0,4,5,0,3,1,2,0,1,3,1,0,1,3,0,3,1,1,1,48,High Risk
0,1,1,2,2,0,0,1,3,4,4,2,2,2,4,0,1,0,0,2,3,0,3,0,0,37,High Risk
3,0,4,1,1,1,5,0,6,6,1,2,2,0,0,0,0,1,2,0,3,1,3,1,1,44,High Risk
0,2,2,2,1,3,3,4,5,4,2,2,1,3,3,3,2,2,1,1,1,2,1,2,0,52,Needs Upskilling
0,0,1,3,0,1,2,5,4,6,3,3,3,2,0,0,1,0,0,0,3,2,3,3,0,45,High Risk
1,4,4,4,1,0,2,6,5,4,3,3,4,4,3,1,3,1,0,3,1,0,2,3,3,65,Needs Upskilling
3,3,1,4,2,6,0,3,4,5,0,4,2,2,4,1,1,3,1,2,3,0,1,1,0,56,Needs Upskilling
3,0,3,4,1,1,6,0,0,3,0,2,3,3,3,2,0,3,1,0,3,3,3,1,1,49,High Risk
1,4,0,2,4,0,4,2,2,6,1,0,4,4,3,0,2,1,3,0,2,2,1,0,2,50,Needs Upskilling
2,4,1,3,0,5,6,6,6,6,0,4,4,2,2,2,0,3,2,0,3,0,1,2,2,66,Needs Upskilling
0,2,0,1,2,2,1,1,6,4,1,0,2,0,4,1,3,3,3,0,1,2,0,1,1,41,High Risk
4,4,4,1,0,3,4,5,1,0,4,3,2,1,1,1,1,2,0,3,1,2,1,0,2,50,Needs Upskilling
0,4,0,2,2,0,4,2,1,6,1,4,1,1,1,1,1,3,1,3,0,3,0,1,0,42,High Risk
0,4,1,4,4,1,5,3,2,4,0,4,3,0,4,0,0,0,3,2,0,1,3,3,2,53,Needs Upskilling
2,4,3,0,0,3,0,0,1,1,4,1,3,1,1,0,0,3,0,2,2,3,0,0,1,35,High Risk
0,1,4,2,3,2,6,3,6,4,0,3,2,1,4,1,3,1,2,1,1,0,0,0,2,52,Needs Upskilling
1,1,1,2,2,5,6,6,5,5,1,3,4,0,1,2,2,2,1,3,1,3,0,1,0,58,Needs Upskilling
1,2,4,3,3,6,0,0,0,3,2,4,2,0,2,2,3,3,3,0,1,3,2,2,0,51,Needs Upskilling
3,0,2,1,0,3,6,4,0,1,3,3,4,2,1,3,2,1,2,0,2,2,0,3,1,49,High Risk
4,4,0,2,3,6,0,1,2,5,0,4,4,2,3,1,1,0,3,1,1,3,1,2,1,54,Needs Upskilling
0,0,2,2,3,0,5,4,1,5,1,1,2,0,4,2,2,3,0,0,0,0,0,0,1,38,High Risk
0,0,1,4,0,2,3,4,5,5,4,4,0,3,0,1,2,2,2,1,2,1,1,2,3,52,Needs Upskilling
2,2,3,4,4,1,4,3,0,0,0,3,3,1,0,2,1,3,3,2,0,3,0,0,3,47,High Risk
1,4,4,0,3,2,5,6,0,5,0,3,4,2,4,3,1,1,2,3,0,3,2,2,0,60,Needs Upskilling
4,4,0,3,3,2,2,1,3,0,3,4,4,1,2,3,1,2,0,1,2,1,3,1,3,53,Needs Upskilling
3,3,4,0,4,4,1,0,3,5,1,4,0,4,1,1,3,3,2,0,3,0,0,2,3,54,Needs Upskilling
1,0,1,4,3,2,3,0,6,2,2,4,1,0,2,2,1,0,3,1,3,0,0,0,2,43,High Risk
3,0,4,1,3,2,2,5,0,1,4,2,0,3,0,0,0,2,0,2,0,3,2,3,3,45,High Risk
2,1,0,4,3,3,4,2,2,2,1,3,0,4,4,3,1,0,1,0,3,2,0,3,2,50,Needs Upskilling
2,3,1,3,1,1,6,5,4,5,4,3,4,4,4,1,1,1,3,2,1,3,1,3,1,67,Needs Upskilling
0,1,4,4,4,3,0,5,4,1,0,2,3,4,2,1,1,3,3,2,2,1,0,0,2,52,Needs Upskilling
4,1,3,3,3,3,4,0,5,1,3,4,0,0,2,2,2,0,0,1,0,1,0,2,2,46,High Risk
3,1,1,3,4,0,5,3,0,6,3,1,1,2,1,1,3,1,0,2,1,1,3,3,1,50,Needs Upskilling
1,2,1,3,2,3,1,4,0,3,2,4,2,0,3,3,1,3,1,0,3,3,3,3,1,52,Needs Upskilling
2,2,3,3,2,4,5,6,6,2,3,4,0,2,3,1,3,1,3,2,1,3,0,3,0,64,Needs Upskilling
0,1,2,3,3,4,3,4,0,3,0,2,0,4,1,1,0,0,0,2,3,0,2,1,0,39,High Risk
0,3,0,1,4,6,3,4,2,1,2,3,1,4,3,0,0,1,1,1,0,2,3,0,0,45,High Risk
3,0,2,0,4,0,1,1,3,0,1,4,3,3,0,0,1,2,1,2,1,3,0,0,0,35,High Risk
2,3,4,2,4,6,2,0,0,1,3,3,0,2,3,3,0,3,0,3,2,0,3,0,2,51,Needs Upskilling
4,4,3,0,1,6,2,6,0,3,2,0,0,4,1,2,3,1,3,1,0,3,0,0,2,51,Needs Upskilling
2,2,2,3,2,5,3,3,6,2,0,3,3,1,3,0,2,0,2,1,1,0,3,0,0,49,High Risk
3,0,1,1,4,1,3,1,1,5,4,1,1,3,4,2,1,3,2,0,1,0,3,1,3,49,High Risk
3,0,4,4,4,1,6,2,6,6,4,1,0,0,2,3,0,2,1,0,3,2,1,2,0,57,Needs Upskilling
2,4,4,1,1,3,0,3,6,6,0,4,3,3,0,0,3,3,2,0,0,3,0,1,3,55,Needs Upskilling
3,4,2,3,1,3,6,5,2,6,0,3,0,1,4,2,3,2,2,0,0,0,0,3,1,56,Needs Upskilling
2,1,2,1,4,5,6,3,5,5,4,4,2,2,4,0,0,3,0,3,0,1,0,1,2,60,Needs Upskilling
1,2,3,1,0,3,2,3,0,6,2,2,4,0,1,3,3,1,1,1,0,1,0,0,2,42,High Risk
2,2,0,3,4,1,1,4,6,2,4,1,2,0,2,3,3,1,3,2,3,1,3,1,3,57,Needs Upskilling
2,3,2,1,4,6,2,3,6,5,0,4,0,2,2,0,1,0,1,0,2,2,1,0,0,49,High Risk
3,1,2,2,1,2,0,5,1,6,3,2,1,3,0,2,3,2,0,0,0,0,1,1,2,43,High Risk
3,1,1,2,1,4,5,5,6,5,1,4,4,4,1,1,0,0,2,0,3,2,2,0,3,60,Needs Upskilling
0,1,4,1,4,2,3,0,4,3,3,3,2,3,0,1,1,1,3,2,2,3,0,3,1,50,Needs Upskilling
0,1,0,4,4,2,3,3,5,2,3,3,3,1,3,0,0,2,1,0,2,3,2,0,1,48,High Risk
1,2,1,3,4,1,0,4,0,4,0,3,1,4,4,2,2,0,2,2,3,0,3,1,2,49,High Risk
0,2,3,2,1,2,6,3,0,0,4,3,2,3,0,1,0,0,1,1,0,1,2,3,0,40,High Risk
2,1,3,4,4,5,1,2,1,6,2,0,3,2,4,3,0,0,3,1,2,0,0,1,3,53,Needs Upskilling
3,3,2,1,4,0,3,2,2,0,3,2,0,1,1,2,1,0,1,1,0,0,1,3,2,38,High Risk
0,0,2,4,3,3,4,4,0,5,4,2,3,1,3,1,3,0,1,3,0,0,1,2,1,50,Needs Upskilling
0,0,3,0,0,0,6,0,4,0,2,3,2,1,1,2,0,2,1,2,1,2,0,2,0,34,High Risk
1,3,2,2,2,6,3,0,0,2,3,0,2,4,3,0,1,0,2,0,0,3,3,2,3,47,High Risk
1,1,0,1,0,4,4,5,4,2,2,3,0,0,3,2,2,2,3,0,1,0,0,1,2,43,High Risk
2,2,2,3,3,3,0,5,5,1,4,0,3,4,4,1,1,0,3,0,2,0,3,1,3,55,Needs Upskilling
3,0,4,1,2,2,0,1,5,6,1,3,3,3,1,0,1,1,2,0,3,0,1,3,0,46,High Risk
1,4,2,3,4,4,6,4,3,1,4,1,0,0,1,2,3,1,2,3,1,2,3,3,0,58,Needs Upskilling
0,4,1,1,3,3,3,3,3,0,0,1,3,3,0,3,0,0,2,0,3,2,0,3,1,42,High Risk
3,3,0,4,4,5,2,6,4,4,2,4,0,0,1,1,2,3,0,3,2,2,0,3,0,58,Needs Upskilling
